"state","min_traffic_count","year_of_min_traffic_count","max_traffic_count","year_of_max_traffic_count","difference_min_max"
"AK",0,1996,243057,1999,243057
"AR",0,2007,1277367,2006,1277367
"AZ",0,1998,2634844,2011,2634844
"CO",0,2019,5907732,1998,5907732
"ID",0,1991,1173528,2022,1173528
"IN",0,1993,263656,2003,263656
"KS",0,1998,22655,1992,22655
"MI",0,2018,721795,2019,721795
"MN",0,2007,34877,2010,34877
"MO",0,1991,192735,2007,192735
"MT",0,2003,1173528,2022,1173528
"ND",11588,2001,130581,2021,118993
"NE",0,1991,505267,2010,505267
"NM",0,2013,277000,2021,277000
"OH",0,1992,230922,1994,230922
"OK",0,1994,1524165,2016,1524165
"SD",0,2020,830224,2023,830224
"TX",0,2022,356010,2009,356010
"UT",0,1992,1046299,2017,1046299
"WI",6172,1994,44906,1998,38734
"WY",0,2003,1801932,2021,1801932
"NY",17109,1996,79591,2008,62482
"VA",15000,2020,132586,1999,117586
"WV",0,2016,9402895,2019,9402895
"AZ",0,2012,3226604,2023,3226604
"CA",0,2007,1069525,2023,1069525
"DC",0,1992,9864839,2013,9864839
"GU",9855,2022,139556,2023,129701
"HI",0,1990,634096,2012,634096
"ID",0,1992,117795,1992,117795
"MD",0,2000,9864839,2013,9864839
"MT",0,1992,104805,1992,104805
"NV",0,2007,3226604,2023,3226604
"OR",0,1991,203975,2017,203975
"VA",0,1992,9864839,2013,9864839
"WA",0,2014,653115,1997,653115
"WV",0,2000,218436,2020,218436
"AL",0,2003,4397661,2014,4397661
"FL",0,1993,1083075,2023,1083075
"GA",0,1992,5903550,1993,5903550
"KY",0,1993,3451549,2005,3451549
"LA",0,2005,203132,1995,203132
"MS",0,2005,4397661,2014,4397661
"NC",0,1993,11836342,1997,11836342
"SC",0,1995,181880,2017,181880
"TN",0,2005,11836342,1997,11836342
"VA",0,1993,3451549,2005,3451549
